,a,b
afrimmlu_amh_215,0.78467363,-0.8360492
afrimmlu_amh_216,0.78467363,-0.8360492
afrimmlu_amh_217,0.7669072,-0.31470987
afrimmlu_amh_218,0.65846074,1.4965177
afrimmlu_amh_219,0.7119467,-0.32218784
afrimmlu_amh_22,0.78467363,-0.8360492
afrimmlu_amh_220,0.7119467,-0.32218784
afrimmlu_amh_221,0.78467363,-0.8360492
afrimmlu_amh_222,0.7588654,0.18015368
afrimmlu_amh_223,0.7283728,-0.32004657
afrimmlu_amh_224,0.78048235,0.67955106
afrimmlu_amh_225,0.78467363,-0.8360492
afrimmlu_amh_226,0.7404723,0.17231084
afrimmlu_amh_227,0.7669072,-0.31470987
afrimmlu_amh_228,0.78467363,-0.8360492
afrimmlu_amh_229,0.5895321,0.10321131
afrimmlu_amh_23,0.78467363,-0.8360492
afrimmlu_amh_230,0.78467363,-0.8360492
afrimmlu_amh_231,0.78467363,-0.8360492
afrimmlu_amh_232,0.78467363,-0.8360492
afrimmlu_amh_233,0.78467363,-0.8360492
afrimmlu_amh_234,0.78467363,-0.8360492
afrimmlu_amh_235,0.6363421,0.5741446
afrimmlu_amh_236,0.7669072,-0.31470987
afrimmlu_amh_237,0.7283728,-0.32004657
afrimmlu_amh_238,0.7119467,-0.32218784
afrimmlu_amh_239,0.78467363,-0.8360492
afrimmlu_amh_24,0.78467363,-0.8360492
afrimmlu_amh_240,0.78048235,0.67955106
afrimmlu_amh_241,0.545274,0.90647614
afrimmlu_amh_242,0.6101059,-0.33277762
afrimmlu_amh_243,0.70331436,0.15601648
afrimmlu_amh_244,0.78467363,-0.8360492
afrimmlu_amh_245,0.7055731,1.0943229
afrimmlu_amh_246,0.7588654,0.18015368
afrimmlu_amh_247,0.50778186,0.06418607
afrimmlu_amh_248,0.7669072,-0.31470987
afrimmlu_amh_249,0.78467363,-0.8360492
afrimmlu_amh_25,0.7119467,-0.32218784
afrimmlu_amh_250,0.7669072,-0.31470987
afrimmlu_amh_251,0.62768817,0.121291265
afrimmlu_amh_252,0.7283728,-0.32004657
afrimmlu_amh_253,0.78467363,-0.8360492
afrimmlu_amh_254,0.7588654,0.18015368
afrimmlu_amh_255,0.65846074,1.4965177
afrimmlu_amh_256,0.78467363,-0.8360492
afrimmlu_amh_257,0.7669072,-0.31470987
afrimmlu_amh_258,0.6009996,0.10867074
afrimmlu_amh_259,0.78467363,-0.8360492
afrimmlu_amh_26,0.78467363,-0.8360492
afrimmlu_amh_260,0.78467363,-0.8360492
afrimmlu_amh_261,0.7669072,-0.31470987
afrimmlu_amh_262,0.78048235,0.67955106
afrimmlu_amh_263,0.78467363,-0.8360492
afrimmlu_amh_264,0.7055731,1.0943229
afrimmlu_amh_265,0.68626213,1.0742759
afrimmlu_amh_266,0.7588654,0.18015368
afrimmlu_amh_267,0.78467363,-0.8360492
afrimmlu_amh_268,0.70331436,0.15601648
afrimmlu_amh_269,0.7669072,-0.31470987
afrimmlu_amh_27,0.58076227,0.9524247
afrimmlu_amh_270,0.78467363,-0.8360492
afrimmlu_amh_271,0.7588654,0.18015368
afrimmlu_amh_272,0.78467363,-0.8360492
afrimmlu_amh_273,0.7283728,-0.32004657
afrimmlu_amh_274,0.78467363,-0.8360492
afrimmlu_amh_275,0.7119467,-0.32218784
afrimmlu_amh_276,0.78048235,0.67955106
afrimmlu_amh_277,0.7404723,0.17231084
afrimmlu_amh_278,0.7404723,0.17231084
afrimmlu_amh_279,0.7669072,-0.31470987
afrimmlu_amh_28,0.7588654,0.18015368
afrimmlu_amh_280,0.7283728,-0.32004657
afrimmlu_amh_281,0.78467363,-0.8360492
afrimmlu_amh_282,0.7588654,0.18015368
afrimmlu_amh_283,0.78467363,-0.8360492
afrimmlu_amh_284,0.7669072,-0.31470987
afrimmlu_amh_285,0.7404723,0.17231084
afrimmlu_amh_286,0.62768817,0.121291265
afrimmlu_amh_287,0.78467363,-0.8360492
afrimmlu_amh_288,0.7283728,-0.32004657
afrimmlu_amh_289,0.78467363,-0.8360492
afrimmlu_amh_29,0.78467363,-0.8360492
afrimmlu_amh_290,0.7283728,-0.32004657
afrimmlu_amh_291,0.78467363,-0.8360492
afrimmlu_amh_292,0.7283728,-0.32004657
afrimmlu_amh_293,0.78048235,0.67955106
afrimmlu_amh_294,0.78467363,-0.8360492
afrimmlu_amh_295,0.545274,0.90647614
afrimmlu_amh_296,0.78467363,-0.8360492
afrimmlu_amh_297,0.78467363,-0.8360492
afrimmlu_amh_298,0.7119467,-0.32218784
afrimmlu_amh_299,0.78467363,-0.8360492
afrimmlu_amh_3,0.7119467,-0.32218784
afrimmlu_amh_30,0.7588654,0.18015368
afrimmlu_amh_300,0.7119467,-0.32218784
afrimmlu_amh_301,0.7669072,-0.31470987
afrimmlu_amh_302,0.78467363,-0.8360492
afrimmlu_amh_303,0.7669072,-0.31470987
afrimmlu_amh_304,0.60925597,0.5517211
afrimmlu_amh_305,0.6101059,-0.33277762
afrimmlu_amh_306,0.70331436,0.15601648
afrimmlu_amh_307,0.78048235,0.67955106
afrimmlu_amh_308,0.78048235,0.67955106
afrimmlu_amh_309,0.78048235,0.67955106
afrimmlu_amh_31,0.78467363,-0.8360492
afrimmlu_amh_310,0.68626213,1.0742759
afrimmlu_amh_311,0.78467363,-0.8360492
afrimmlu_amh_312,0.7669072,-0.31470987
afrimmlu_amh_313,0.6363421,0.5741446
afrimmlu_amh_314,0.50778186,0.06418607
afrimmlu_amh_315,0.78048235,0.67955106
afrimmlu_amh_316,0.7055731,1.0943229
afrimmlu_amh_317,0.7283728,-0.32004657
afrimmlu_amh_318,0.70331436,0.15601648
afrimmlu_amh_319,0.78467363,-0.8360492
afrimmlu_amh_32,0.7283728,-0.32004657
afrimmlu_amh_320,0.7404723,0.17231084
afrimmlu_amh_321,0.58076227,0.9524247
afrimmlu_amh_322,0.63796276,0.57546014
afrimmlu_amh_323,0.78467363,-0.8360492
afrimmlu_amh_324,0.78467363,-0.8360492
afrimmlu_amh_325,0.7669072,-0.31470987
afrimmlu_amh_326,0.70331436,0.15601648
afrimmlu_amh_327,0.70331436,0.15601648
afrimmlu_amh_328,0.63796276,0.57546014
afrimmlu_amh_329,0.70331436,0.15601648
afrimmlu_amh_33,0.7119467,-0.32218784
afrimmlu_amh_330,0.70331436,0.15601648
afrimmlu_amh_331,0.7669072,-0.31470987
afrimmlu_amh_332,0.70331436,0.15601648
afrimmlu_amh_333,0.6228919,0.5631122
afrimmlu_amh_334,0.78048235,0.67955106
afrimmlu_amh_335,0.63796276,0.57546014
afrimmlu_amh_336,0.78048235,0.67955106
afrimmlu_amh_337,0.5102664,0.463077
afrimmlu_amh_338,0.7283728,-0.32004657
afrimmlu_amh_339,0.545274,0.90647614
afrimmlu_amh_34,0.78467363,-0.8360492
afrimmlu_amh_340,0.7588654,0.18015368
afrimmlu_amh_341,0.7588654,0.18015368
afrimmlu_amh_342,0.65846074,1.4965177
afrimmlu_amh_343,0.7588654,0.18015368
afrimmlu_amh_344,0.78048235,0.67955106
afrimmlu_amh_345,0.7404723,0.17231084
afrimmlu_amh_346,0.7669072,-0.31470987
afrimmlu_amh_347,0.7055731,1.0943229
afrimmlu_amh_348,0.7119467,-0.32218784
afrimmlu_amh_349,0.78048235,0.67955106
afrimmlu_amh_35,0.7669072,-0.31470987
afrimmlu_amh_350,0.7283728,-0.32004657
afrimmlu_amh_351,0.78048235,0.67955106
afrimmlu_amh_352,0.7669072,-0.31470987
afrimmlu_amh_353,0.7588654,0.18015368
afrimmlu_amh_354,0.78048235,0.67955106
afrimmlu_amh_355,0.70331436,0.15601648
afrimmlu_amh_356,0.63796276,0.57546014
afrimmlu_amh_357,0.6228919,0.5631122
afrimmlu_amh_358,0.569069,0.93756896
afrimmlu_amh_359,0.78467363,-0.8360492
afrimmlu_amh_36,0.78467363,-0.8360492
afrimmlu_amh_360,0.7588654,0.18015368
afrimmlu_amh_361,0.7669072,-0.31470987
afrimmlu_amh_362,0.7055731,1.0943229
afrimmlu_amh_363,0.78048235,0.67955106
afrimmlu_amh_364,0.78048235,0.67955106
afrimmlu_amh_365,0.7283728,-0.32004657
afrimmlu_amh_366,0.62768817,0.121291265
afrimmlu_amh_367,0.70331436,0.15601648
afrimmlu_amh_368,0.70331436,0.15601648
afrimmlu_amh_369,0.78048235,0.67955106
afrimmlu_amh_37,0.569069,0.93756896
afrimmlu_amh_370,0.5102664,0.463077
afrimmlu_amh_371,0.68626213,1.0742759
afrimmlu_amh_372,0.7669072,-0.31470987
afrimmlu_amh_373,0.70331436,0.15601648
afrimmlu_amh_374,0.5102664,0.463077
afrimmlu_amh_375,0.545274,0.90647614
afrimmlu_amh_376,0.7669072,-0.31470987
afrimmlu_amh_377,0.7588654,0.18015368
afrimmlu_amh_378,0.7055731,1.0943229
afrimmlu_amh_379,0.78467363,-0.8360492
afrimmlu_amh_38,0.7669072,-0.31470987
afrimmlu_amh_380,0.65846074,1.4965177
afrimmlu_amh_381,0.7669072,-0.31470987
afrimmlu_amh_382,0.7119467,-0.32218784
afrimmlu_amh_383,0.78048235,0.67955106
afrimmlu_amh_384,0.78048235,0.67955106
afrimmlu_amh_385,0.78048235,0.67955106
afrimmlu_amh_386,0.7119467,-0.32218784
afrimmlu_amh_387,0.7588654,0.18015368
afrimmlu_amh_388,0.78048235,0.67955106
afrimmlu_amh_389,0.78048235,0.67955106
afrimmlu_amh_39,0.78048235,0.67955106
afrimmlu_amh_390,0.545274,0.90647614
afrimmlu_amh_391,0.78048235,0.67955106
afrimmlu_amh_392,0.7404723,0.17231084
afrimmlu_amh_393,0.50778186,0.06418607
afrimmlu_amh_394,0.7669072,-0.31470987
afrimmlu_amh_395,0.7404723,0.17231084
afrimmlu_amh_396,0.78467363,-0.8360492
afrimmlu_amh_397,0.78467363,-0.8360492
afrimmlu_amh_398,0.51898295,0.4712788
afrimmlu_amh_399,0.78048235,0.67955106
afrimmlu_amh_4,0.7283728,-0.32004657
afrimmlu_amh_40,0.78467363,-0.8360492
afrimmlu_amh_400,0.7588654,0.18015368
afrimmlu_amh_401,0.78048235,0.67955106
afrimmlu_amh_402,0.7669072,-0.31470987
afrimmlu_amh_403,0.78467363,-0.8360492
afrimmlu_amh_404,0.7588654,0.18015368
afrimmlu_amh_405,0.6521035,0.5868134
afrimmlu_amh_406,0.78467363,-0.8360492
afrimmlu_amh_407,0.7404723,0.17231084
afrimmlu_amh_408,0.7669072,-0.31470987
afrimmlu_amh_409,0.7404723,0.17231084
afrimmlu_amh_41,0.78467363,-0.8360492
afrimmlu_amh_410,0.7119467,-0.32218784
afrimmlu_amh_411,0.7119467,-0.32218784
afrimmlu_amh_412,0.78467363,-0.8360492
afrimmlu_amh_413,0.7283728,-0.32004657
afrimmlu_amh_414,0.78467363,-0.8360492
afrimmlu_amh_415,0.7404723,0.17231084
afrimmlu_amh_416,0.78048235,0.67955106
afrimmlu_amh_417,0.7669072,-0.31470987
afrimmlu_amh_418,0.78467363,-0.8360492
afrimmlu_amh_419,0.7669072,-0.31470987
afrimmlu_amh_42,0.78467363,-0.8360492
afrimmlu_amh_420,0.7669072,-0.31470987
afrimmlu_amh_421,0.78467363,-0.8360492
afrimmlu_amh_422,0.7669072,-0.31470987
afrimmlu_amh_423,0.70331436,0.15601648
afrimmlu_amh_424,0.78467363,-0.8360492
afrimmlu_amh_425,0.78048235,0.67955106
afrimmlu_amh_426,0.65846074,1.4965177
afrimmlu_amh_427,0.78467363,-0.8360492
afrimmlu_amh_428,0.7669072,-0.31470987
afrimmlu_amh_429,0.7669072,-0.31470987
afrimmlu_amh_43,0.7588654,0.18015368
afrimmlu_amh_430,0.7404723,0.17231084
afrimmlu_amh_431,0.70331436,0.15601648
afrimmlu_amh_432,0.78467363,-0.8360492
afrimmlu_amh_433,0.78467363,-0.8360492
afrimmlu_amh_434,0.7055731,1.0943229
afrimmlu_amh_435,0.7283728,-0.32004657
afrimmlu_amh_436,0.7588654,0.18015368
afrimmlu_amh_437,0.7669072,-0.31470987
afrimmlu_amh_438,0.7404723,0.17231084
afrimmlu_amh_439,0.78467363,-0.8360492
afrimmlu_amh_44,0.7404723,0.17231084
afrimmlu_amh_440,0.78467363,-0.8360492
afrimmlu_amh_441,0.78467363,-0.8360492
afrimmlu_amh_442,0.78467363,-0.8360492
afrimmlu_amh_443,0.7588654,0.18015368
afrimmlu_amh_444,0.7669072,-0.31470987
afrimmlu_amh_445,0.7669072,-0.31470987
afrimmlu_amh_446,0.78467363,-0.8360492
afrimmlu_amh_447,0.7669072,-0.31470987
afrimmlu_amh_448,0.78467363,-0.8360492
afrimmlu_amh_449,0.7588654,0.18015368
afrimmlu_amh_45,0.7669072,-0.31470987
afrimmlu_amh_450,0.78467363,-0.8360492
afrimmlu_amh_451,0.7283728,-0.32004657
afrimmlu_amh_452,0.7283728,-0.32004657
afrimmlu_amh_453,0.78467363,-0.8360492
afrimmlu_amh_454,0.7404723,0.17231084
afrimmlu_amh_455,0.7669072,-0.31470987
afrimmlu_amh_456,0.7283728,-0.32004657
afrimmlu_amh_457,0.78467363,-0.8360492
afrimmlu_amh_458,0.7119467,-0.32218784
afrimmlu_amh_459,0.7404723,0.17231084
afrimmlu_amh_46,0.7119467,-0.32218784
afrimmlu_amh_460,0.78467363,-0.8360492
afrimmlu_amh_461,0.78467363,-0.8360492
afrimmlu_amh_462,0.7588654,0.18015368
afrimmlu_amh_463,0.7404723,0.17231084
afrimmlu_amh_464,0.78467363,-0.8360492
afrimmlu_amh_465,0.68626213,1.0742759
afrimmlu_amh_466,0.7588654,0.18015368
afrimmlu_amh_467,0.7283728,-0.32004657
