,a,b
sib_amh_54,0.6566825,0.059603743
sib_amh_55,0.706751,0.10293185
sib_amh_56,0.78793126,-0.41532964
sib_amh_57,0.55150425,1.2537094
sib_amh_58,0.78793126,-0.41532964
sib_amh_59,0.78793126,-0.41532964
sib_amh_6,0.78793126,-0.41532964
sib_amh_60,0.78793126,-0.41532964
sib_amh_61,0.7096046,0.10541948
sib_amh_62,0.6566825,0.059603743
sib_amh_63,0.706751,0.10293185
sib_amh_64,0.78793126,-0.41532964
sib_amh_65,0.6566825,0.059603743
sib_amh_66,0.7096046,0.10541948
sib_amh_67,0.78793126,-0.41532964
sib_amh_68,0.78793126,-0.41532964
sib_amh_69,0.78793126,-0.41532964
sib_amh_7,0.6566825,0.059603743
sib_amh_70,0.78793126,-0.41532964
sib_amh_71,0.5848147,1.3261219
sib_amh_72,0.6250029,0.50746787
sib_amh_73,0.6303697,0.97473395
sib_amh_74,0.53761923,0.39087477
sib_amh_75,0.56108177,1.6892787
sib_amh_76,0.6566825,0.059603743
sib_amh_77,0.78793126,-0.41532964
sib_amh_78,0.78793126,-0.41532964
sib_amh_79,0.706751,0.10293185
sib_amh_8,0.78793126,-0.41532964
sib_amh_80,0.6566825,0.059603743
sib_amh_81,0.6566825,0.059603743
sib_amh_82,0.6303697,0.97473395
sib_amh_83,0.78793126,-0.41532964
sib_amh_84,0.78793126,-0.41532964
sib_amh_85,0.78793126,-0.41532964
sib_amh_86,0.78793126,-0.41532964
sib_amh_87,0.78793126,-0.41532964
sib_amh_88,0.78793126,-0.41532964
sib_amh_89,0.78793126,-0.41532964
sib_amh_9,0.78793126,-0.41532964
sib_amh_90,0.78793126,-0.41532964
sib_amh_91,0.78793126,-0.41532964
sib_amh_92,0.56108177,1.6892787
sib_amh_93,0.78793126,-0.41532964
sib_amh_94,0.78793126,-0.41532964
sib_amh_95,0.78793126,-0.41532964
sib_amh_96,0.78793126,-0.41532964
sib_amh_97,0.78793126,-0.41532964
sib_amh_98,0.78793126,-0.41532964
sib_amh_99,0.78793126,-0.41532964
sib_eng_0,0.78793126,-0.41532964
sib_eng_1,0.78793126,-0.41532964
sib_eng_10,0.78793126,-0.41532964
sib_eng_100,0.78793126,-0.41532964
sib_eng_101,0.78793126,-0.41532964
sib_eng_102,0.78793126,-0.41532964
sib_eng_103,0.78793126,-0.41532964
sib_eng_104,0.78793126,-0.41532964
sib_eng_105,0.78793126,-0.41532964
sib_eng_106,0.78793126,-0.41532964
sib_eng_107,0.78793126,-0.41532964
sib_eng_108,0.78793126,-0.41532964
sib_eng_109,0.78793126,-0.41532964
sib_eng_11,0.78793126,-0.41532964
sib_eng_110,0.78793126,-0.41532964
sib_eng_111,0.78793126,-0.41532964
sib_eng_112,0.78793126,-0.41532964
sib_eng_113,0.78793126,-0.41532964
sib_eng_114,0.78793126,-0.41532964
sib_eng_115,0.78793126,-0.41532964
sib_eng_116,0.78793126,-0.41532964
sib_eng_117,0.78793126,-0.41532964
sib_eng_118,0.78793126,-0.41532964
sib_eng_119,0.78793126,-0.41532964
sib_eng_12,0.78793126,-0.41532964
sib_eng_120,0.78793126,-0.41532964
sib_eng_121,0.78793126,-0.41532964
sib_eng_122,0.78793126,-0.41532964
sib_eng_123,0.78793126,-0.41532964
sib_eng_124,0.78793126,-0.41532964
sib_eng_125,0.78793126,-0.41532964
sib_eng_126,0.5848147,1.3261219
sib_eng_127,0.78793126,-0.41532964
sib_eng_128,0.78793126,-0.41532964
sib_eng_129,0.78793126,-0.41532964
sib_eng_13,0.78793126,-0.41532964
sib_eng_130,0.78793126,-0.41532964
sib_eng_131,0.6274433,0.51071554
sib_eng_132,0.78793126,-0.41532964
sib_eng_133,0.78793126,-0.41532964
sib_eng_134,0.78793126,-0.41532964
sib_eng_135,0.78793126,-0.41532964
sib_eng_136,0.78793126,-0.41532964
sib_eng_137,0.6250029,0.50746787
sib_eng_138,0.78793126,-0.41532964
sib_eng_139,0.6250029,0.50746787
sib_eng_14,0.78793126,-0.41532964
sib_eng_140,0.78793126,-0.41532964
sib_eng_141,0.78793126,-0.41532964
sib_eng_142,0.78793126,-0.41532964
sib_eng_143,0.78793126,-0.41532964
sib_eng_144,0.56108177,1.6892787
sib_eng_145,0.78793126,-0.41532964
sib_eng_146,0.78793126,-0.41532964
sib_eng_147,0.78793126,-0.41532964
sib_eng_148,0.78793126,-0.41532964
sib_eng_149,0.78793126,-0.41532964
sib_eng_15,0.6566825,0.059603743
sib_eng_150,0.7096046,0.10541948
sib_eng_151,0.78793126,-0.41532964
sib_eng_152,0.78793126,-0.41532964
sib_eng_153,0.78793126,-0.41532964
sib_eng_154,0.78793126,-0.41532964
sib_eng_155,0.56108177,1.6892787
sib_eng_156,0.78793126,-0.41532964
sib_eng_157,0.5560217,0.8440483
sib_eng_158,0.78793126,-0.41532964
sib_eng_159,0.6274433,0.51071554
sib_eng_16,0.78793126,-0.41532964
sib_eng_160,0.53201306,0.8006286
sib_eng_161,0.78793126,-0.41532964
sib_eng_162,0.78793126,-0.41532964
sib_eng_163,0.56108177,1.6892787
sib_eng_164,0.78793126,-0.41532964
sib_eng_165,0.67854804,0.5783185
sib_eng_166,0.7096046,0.10541948
sib_eng_167,0.78793126,-0.41532964
sib_eng_168,0.78793126,-0.41532964
sib_eng_169,0.78793126,-0.41532964
sib_eng_17,0.78793126,-0.41532964
sib_eng_170,0.78793126,-0.41532964
sib_eng_171,0.53761923,0.39087477
sib_eng_172,0.5614328,0.42261702
sib_eng_173,0.78793126,-0.41532964
sib_eng_174,0.78793126,-0.41532964
sib_eng_175,0.78793126,-0.41532964
sib_eng_176,0.78793126,-0.41532964
sib_eng_177,0.7096046,0.10541948
sib_eng_178,0.56108177,1.6892787
sib_eng_179,0.56108177,1.6892787
sib_eng_18,0.7096046,0.10541948
sib_eng_180,0.67854804,0.5783185
sib_eng_181,0.6026998,0.47773477
sib_eng_182,0.6026998,0.47773477
sib_eng_183,0.78793126,-0.41532964
sib_eng_184,0.56108177,1.6892787
sib_eng_185,0.78793126,-0.41532964
sib_eng_186,0.78793126,-0.41532964
sib_eng_187,0.53201306,0.8006286
sib_eng_188,0.78793126,-0.41532964
sib_eng_189,0.78793126,-0.41532964
sib_eng_19,0.6250029,0.50746787
sib_eng_190,0.78793126,-0.41532964
sib_eng_191,0.78793126,-0.41532964
sib_eng_192,0.56108177,1.6892787
sib_eng_193,0.78793126,-0.41532964
sib_eng_194,0.78793126,-0.41532964
sib_eng_195,0.6026998,0.47773477
sib_eng_196,0.78793126,-0.41532964
sib_eng_197,0.78793126,-0.41532964
sib_eng_198,0.78793126,-0.41532964
sib_eng_199,0.7096046,0.10541948
sib_eng_2,0.78793126,-0.41532964
sib_eng_20,0.78793126,-0.41532964
sib_eng_200,0.53201306,0.8006286
sib_eng_201,0.78793126,-0.41532964
sib_eng_202,0.53201306,0.8006286
sib_eng_203,0.78793126,-0.41532964
sib_eng_21,0.78793126,-0.41532964
sib_eng_22,0.78793126,-0.41532964
sib_eng_23,0.5093866,1.1586474
sib_eng_24,0.78793126,-0.41532964
sib_eng_25,0.78793126,-0.41532964
sib_eng_26,0.78793126,-0.41532964
sib_eng_27,0.78793126,-0.41532964
sib_eng_28,0.78793126,-0.41532964
sib_eng_29,0.78793126,-0.41532964
sib_eng_3,0.78793126,-0.41532964
sib_eng_30,0.78793126,-0.41532964
sib_eng_31,0.78793126,-0.41532964
sib_eng_32,0.56108177,1.6892787
sib_eng_33,0.78793126,-0.41532964
sib_eng_34,0.6566825,0.059603743
sib_eng_35,0.78793126,-0.41532964
sib_eng_36,0.78793126,-0.41532964
sib_eng_37,0.78793126,-0.41532964
sib_eng_38,0.78793126,-0.41532964
sib_eng_39,0.78793126,-0.41532964
sib_eng_4,0.78793126,-0.41532964
sib_eng_40,0.78793126,-0.41532964
sib_eng_41,0.7096046,0.10541948
sib_eng_42,0.78793126,-0.41532964
sib_eng_43,0.78793126,-0.41532964
sib_eng_44,0.78793126,-0.41532964
sib_eng_45,0.6566825,0.059603743
sib_eng_46,0.6566825,0.059603743
sib_eng_47,0.78793126,-0.41532964
sib_eng_48,0.78793126,-0.41532964
sib_eng_49,0.6566825,0.059603743
sib_eng_5,0.78793126,-0.41532964
sib_eng_50,0.78793126,-0.41532964
sib_eng_51,0.78793126,-0.41532964
sib_eng_52,0.78793126,-0.41532964
sib_eng_53,0.56108177,1.6892787
sib_eng_54,0.78793126,-0.41532964
